Pack														Map													Zone																																																																																									Connections													
Field count							Options																					Type					Restrictions				Player towns					Neutral towns					Town types										Minimum mines							Mine Density							Terrain											Monsters													Treasure									Options												Zones		Options							Restrictions			
Town	Terrain	Zone type	Pack new	Map new	Zone new	Connection new	Name	Description	Town selection	Heroes	Mirror	Tags	Max Battle Rounds	Name	Minimum Size	Maximum Size	Artifacts	Combo Arts	Spells	Secondary skills	Objects	Rock blocks	Zone sparseness	Special weeks disabled	Spell Research	Anarchy	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	Cove	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Highlands	Wasteland	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	Cove	Low	High	Density	Low	High	Density	Low	High	Density	Placement	Objects	Minimum objects	Image settings	Force neutral creatures	Allow non-coherent road	Zone repulsion	Town Hint	Monsters disposition (standard)	Monsters disposition (custom)	Monsters joining percentage	Monsters join only for money	Zone 1	Zone 2	Value	Wide	Border Guard	Road	Type	Fictive	Portal repulsion	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions
10	10	4	7	10	12	4	Morbi - Simple Square							Morbi - Simple Square	9	32	-72 		-6 -8 -9 		-146 3 				x		1	x				20	1	4	2	4	1		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-700 -380					3		1	x	1	9	3000			+				1	4	2	4
																											2	x				20	1	4	2	4	2		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-300 -380					3		1	x	2	10	3000			+				1	4	2	4
																											3	x				20	1	4	2	4	3		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-300 20					3		1	x	3	11	3000			+				1	4	2	4
																											4	x				20	1	4	2	4	4		1								x	x	x	x	x	x	x	x	x	x	1		1												x											weak		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-700 20					3		1	x	4	12	3000			+				1	4	2	4
																											9			x		40	1	4	2	4																						1		1	1	1										x	x	x			x	x		x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-620 -300					3		1	x	9	17	6000			+				1	4	2	4
																											10			x		40	1	4	2	4																						1		1	1	1										x	x	x			x	x		x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-380 -300					3		1	x	9	18	6000			+				1	4	2	4
																											11			x		40	1	4	2	4																						1		1	1	1										x	x	x			x	x		x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-380 -60					3		1	x	10	18	6000			+				1	4	2	4
																											12			x		40	1	4	2	4																						1		1	1	1										x	x	x			x	x		x	x	avg		x	x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9				-620 -60					3		1	x	10	19	6000			+				1	4	2	4
																											13			x		10	1	4	2	4																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-500 -180					3		1	x	11	19	6000			+				1	4	2	4
																											14			x		10	1	4	2	4																																				x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-500 -180					3		1	x	11	20	6000			+				1	4	2	4
																											15			x		50	1	4	2	4																																				x	x	x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9				-500 -180					3		1	x	12	17	6000			+				1	4	2	4
																											17			x		10	1	4	2	4																											1									x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-620 -180					3		1	x	12	20	6000			+				1	4	2	4
																											18			x		10	1	4	2	4																											1									x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-500 -300					3		1	x	15	17	12000							1	4	2	4
																											19			x		10	1	4	2	4																											1									x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-380 -180					3		1	x	15	18	12000							1	4	2	4
																											20			x		10	1	4	2	4																											1									x	x	x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9				-500 -60					3		1	x	15	19	12000							1	4	2	4
																																																																																																																				15	20	12000							1	4	2	4
